<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;share_price;<VOL>
PLZL;D;20180206;0;4512.0000000;4547.0000000;4462.0000000;4500.0000000;58305
PLZL;D;20180207;0;4515.0000000;4550.0000000;4351.0000000;4351.0000000;49044
PLZL;D;20180208;0;4349.0000000;4420.0000000;4342.0000000;4381.0000000;57487
PLZL;D;20180209;0;4393.0000000;4428.0000000;4313.0000000;4322.0000000;50771
PLZL;D;20180212;0;4341.0000000;4413.0000000;4306.0000000;4350.0000000;35708
PLZL;D;20180213;0;4358.0000000;4399.0000000;4337.0000000;4386.0000000;28898
PLZL;D;20180214;0;4401.0000000;4489.0000000;4350.0000000;4467.0000000;39484
PLZL;D;20180215;0;4478.0000000;4564.0000000;3674.0000000;4490.0000000;69251
PLZL;D;20180216;0;4540.0000000;4556.0000000;4481.0000000;4503.0000000;25476
PLZL;D;20180219;0;4495.0000000;4538.0000000;4371.0000000;4497.0000000;16591
PLZL;D;20180220;0;4474.0000000;4514.0000000;4450.0000000;4489.0000000;17686
PLZL;D;20180221;0;4484.0000000;4569.0000000;4451.0000000;4569.0000000;27380
PLZL;D;20180222;0;4548.0000000;4561.0000000;4472.0000000;4520.0000000;32148
PLZL;D;20180226;0;4520.0000000;4595.0000000;4477.0000000;4499.0000000;51094
PLZL;D;20180227;0;4517.0000000;4548.0000000;4471.0000000;4548.0000000;32833
PLZL;D;20180228;0;4528.0000000;4646.0000000;4491.0000000;4646.0000000;84048
PLZL;D;20180301;0;4550.0000000;4745.0000000;4521.0000000;4706.0000000;68962
